vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G2, K2']",[140],[3500.0],[12.980269989615783],[3.326996197718631],1790,1378,46,366,1378,0.5507555411632794,9.99184389054303,28.163205504386905,1.506198023849084,0.6983240223463687,79,0.7215133611925206,490000.0
"['B1, E1, G2, K2']",[150],[3500.0],[12.980269989615783],[3.326996197718631],1790,1417,29,344,1417,0.9487131641929474,9.988015431109183,28.01545767437635,1.4980054160379788,0.6821229050279329,75,0.7147502301823079,525000.0
"['B1, E1, G2, K2']",[160],[3500.0],[12.980269989615783],[3.326996197718631],1790,1353,40,397,1353,0.6275464107499948,9.936082111207085,27.909502788145517,1.492130224310984,0.6932960893854748,71,0.7049876099087438,560000.0
"['B1, E1, G2, K2']",[170],[3500.0],[12.980269989615783],[3.326996197718631],1790,1371,3,416,1371,0.651214347740677,9.951687894501084,28.212029664599996,1.5089053204388467,0.6843575418994413,73,0.707830135257768,595000.0
"['B1, E1, G2, K2']",[180],[3500.0],[12.980269989615783],[3.326996197718631],1790,1435,2,353,1435,0.4653811725040409,9.836181320072512,28.067883198518242,1.50091240802937,0.7396648044692737,81,0.7419873670135543,630000.0
"['B1, E1, G2, K2']",[190],[3500.0],[12.980269989615783],[3.326996197718631],1790,1392,0,398,1392,0.02294989085653222,2.6987988449216616,28.096095552835674,1.5024767812884163,0.770949720670391,75,0.7371971055495998,665000.0
"['B1, E1, G2, K2']",[200],[3500.0],[12.980269989615783],[3.326996197718631],1790,1432,0,358,1432,0.07847528529491832,5.8429611830251815,28.060070677840482,1.5004792042528783,0.7787709497206704,78,0.7482580739316353,700000.0
"['B1, E1, G2, K3']",[20],[3700.0],[12.87995878413189],[9.704251386321626],1790,635,783,372,635,6.743311130473029,9.995749661621645,10.175707955225452,1.4840562774163162,0.06201117318435754,32,0.3936964374694669,74000.0
"['B1, E1, G2, K3']",[30],[3700.0],[12.87995878413189],[9.704251386321626],1790,861,561,368,861,5.773029147000781,9.997847109228175,10.2103608937785,1.4896609578662086,0.13128491620111732,60,0.47115882099226836,111000.0
"['B1, E1, G2, K3']",[40],[3700.0],[12.87995878413189],[9.704251386321626],1790,1040,373,377,1040,5.238680681588194,9.999029548813034,10.246743015593179,1.495545312133832,0.188268156424581,68,0.5180255095639106,148000.0
"['B1, E1, G2, K3']",[50],[3700.0],[12.87995878413189],[9.704251386321626],1790,1190,216,384,1190,4.081957788398582,9.997384423814246,10.30281348192172,1.5046140104771726,0.32625698324022345,77,0.5905773935506609,185000.0
"['B1, E1, G2, K3']",[60],[3700.0],[12.87995878413189],[9.704251386321626],1790,1258,149,383,1258,1.9684567246009246,9.983063471263378,10.281860379546423,1.5012251075976193,0.48659217877094973,98,0.6777184461566341,222000.0
"['B1, E1, G2, K3']",[70],[3700.0],[12.87995878413189],[9.704251386321626],1790,1306,114,370,1306,1.3808539338758778,9.997734793144275,10.377460881536907,1.5166872959971895,0.5865921787709497,112,0.7375350559241718,259000.0
"['B1, E1, G2, K3']",[80],[3700.0],[12.87995878413189],[9.704251386321626],1790,1376,35,379,1376,0.7849451288662203,9.98932038101902,10.340163107550666,1.5106548464153111,0.6541899441340782,112,0.7649201780824877,296000.0
"['B1, E1, G2, K3']",[90],[3700.0],[12.87995878413189],[9.704251386321626],1790,1399,31,360,1399,0.4368349961065588,9.914065312607363,10.289854430756694,1.5025180456399458,0.7156424581005587,108,0.7762616920387667,333000.0
"['B1, E1, G2, K3']",[100],[3700.0],[12.87995878413189],[9.704251386321626],1790,1416,15,359,1416,0.28579267298097644,9.97843403445934,10.309181718375884,1.5056439932678185,0.7575418994413408,115,0.8033052005049017,370000.0
"['B1, E1, G2, K3']",[110],[3700.0],[12.87995878413189],[9.704251386321626],1790,1448,0,342,1448,0.022383451545065134,3.301778172010472,10.250176273231862,1.4961005987204954,0.8005586592178771,117,0.8228213227240615,407000.0
"['B1, E1, G2, K3']",[120],[3700.0],[12.87995878413189],[9.704251386321626],1790,1402,0,388,1402,0.009703702396110068,1.8942769374501367,10.385157683725087,1.5179321577189375,0.7804469273743017,115,0.808317768885189,444000.0
"['B1, E1, G2, K3']",[130],[3700.0],[12.87995878413189],[9.704251386321626],1790,1413,0,377,1413,0.0,0.0,10.352863560765945,1.5127089862606662,0.7893854748603352,113,0.8079063687150838,481000.0
"['B1, E1, G2, K3']",[140],[3700.0],[12.87995878413189],[9.704251386321626],1790,1406,0,384,1406,0.0,0.0,10.273626735895657,1.4998934184674122,0.7854748603351955,117,0.8140887150837988,518000.0
"['B1, E1, G2, K3']",[150],[3700.0],[12.87995878413189],[9.704251386321626],1790,1430,0,360,1430,0.0,0.0,10.349384440365586,1.5121462819445264,0.7988826815642458,113,0.8123206703910615,555000.0
"['B1, E1, G2, K3']",[160],[3700.0],[12.87995878413189],[9.704251386321626],1790,1431,0,359,1431,0.0,0.0,10.331441657350299,1.5092442606620167,0.7994413407821229,113,0.8125803351955307,592000.0
"['B1, E1, G2, K3']",[170],[3700.0],[12.87995878413189],[9.704251386321626],1790,1416,0,374,1416,0.0,0.0,10.170432536460407,1.4832030442519142,0.7910614525139665,121,0.8246853631284916,629000.0
"['B1, E1, G2, K3']",[180],[3700.0],[12.87995878413189],[9.704251386321626],1790,1413,0,377,1413,0.0,0.0,10.096795418522593,1.471293159188035,0.7893854748603352,111,0.8039063687150838,666000.0
"['B1, E1, G2, K3']",[190],[3700.0],[12.87995878413189],[9.704251386321626],1790,1425,0,365,1425,0.0,0.0,10.368868477584018,1.515297581864328,0.7960893854748603,117,0.8190223463687151,703000.0
"['B1, E1, G2, K3']",[200],[3700.0],[12.87995878413189],[9.704251386321626],1790,1434,0,356,1434,0.0,0.0,10.253675514156154,1.496666557280339,0.8011173184357542,115,0.8173593296089385,740000.0
"['B2, E1, G1, K1']",[20],[4200.0],[14.90312965722802],[2.3902439024390243],1790,239,1213,338,239,6.605955541541318,9.993289192075672,38.831061020474905,1.5070910487831464,0.03519553072625698,10,0.3431555050999858,84000.0
"['B2, E1, G1, K1']",[30],[4200.0],[14.90312965722802],[2.3902439024390243],1790,348,1065,377,348,6.636999353270251,9.99938948382507,39.072243121746084,1.5166991162321608,0.04189944134078212,19,0.359936869389412,126000.0
