,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost,class
101,"['B1, E1, G2, K3']",[80],[3700.0],[12.87995878413189],[9.704251386321626],1790,1376,35,379,1376,0.7849451288662203,9.98932038101902,10.340163107550666,1.5106548464153111,0.6541899441340782,112,0.7649201780824877,296000.0,B
102,"['B1, E1, G2, K3']",[90],[3700.0],[12.87995878413189],[9.704251386321626],1790,1399,31,360,1399,0.4368349961065588,9.914065312607365,10.289854430756694,1.5025180456399458,0.7156424581005587,108,0.7762616920387667,333000.0,B
103,"['B1, E1, G2, K3']",[100],[3700.0],[12.87995878413189],[9.704251386321626],1790,1416,15,359,1416,0.2857926729809764,9.97843403445934,10.309181718375884,1.5056439932678185,0.7575418994413408,115,0.8033052005049017,370000.0,B
104,"['B1, E1, G2, K3']",[110],[3700.0],[12.87995878413189],[9.704251386321626],1790,1448,0,342,1448,0.0223834515450651,3.301778172010472,10.250176273231862,1.4961005987204954,0.8005586592178771,117,0.8228213227240615,407000.0,B
933,"['C1, P3, G1, M3, A3']",[14],[41665],[733.1378299120234],[40],1790,1651,84,55,1975,3.8300707418183495,9.995610653341345,3.2765787643774167,1.5177191762516111,0.464804469273743,154,0.8282958697220715,583310.0,C
755,"['C1, P2, G1, M2, A3']",[16],[37811],[527.4261603375528],[38.230475150191154],1790,1718,6,66,2015,2.040540606095384,9.912011939095288,3.326338661056619,1.482283872874234,0.5385474860335195,161,0.857994979387046,604976.0,C
445,"['B3, E2, G2, K3']",[100],[6100.0],[26.352775825720308],[5.142017629774731],1790,1441,297,52,1702,0.4988898115381635,9.976710366566016,18.846469384796375,1.5294476700976327,0.735195530726257,135,0.8591727683411806,610000.0,B
769,"['C1, P2, G1, M3, A3']",[16],[41661],[519.2107995846313],[40],1790,1723,0,67,2061,0.8948534736773875,7.144620597418587,3.233944597995631,1.489296398663754,0.6720670391061453,172,0.9008847726186656,666576.0,C
591,"['C1, P1, G1, M2, A3']",[18],[37806],[279.9552071668533],[40],1790,1638,98,54,1934,0.3572647347866864,4.90735645817459,3.27933629343897,1.5195575289593133,0.7927374301675978,184,0.934973930970146,680508.0,C
756,"['C1, P2, G1, M2, A3']",[18],[37811],[527.4261603375528],[38.230475150191154],1790,1724,0,66,2032,0.3527479578811364,5.395570931634914,3.3345106643403253,1.4874908656819836,0.8402234636871508,186,0.9518212480692037,680598.0,C
770,"['C1, P2, G1, M3, A3']",[18],[41661],[519.2107995846313],[40],1790,1733,0,57,2041,0.2270469787761555,4.069809483555744,3.2562344967929295,1.504156331195286,0.8798882681564246,189,0.9636774026133896,749898.0,C
592,"['C1, P1, G1, M2, A3']",[20],[37806],[279.9552071668533],[40],1790,1730,0,60,2092,0.1376819976735484,4.283811827356487,3.233844509364074,1.4892296729093826,0.9083798882681564,200,0.9766130850751816,756120.0,C
593,"['C1, P1, G1, M2, A3']",[22],[37806],[279.9552071668533],[40],1790,1725,0,65,2045,0.0082356780436394,1.271069975674628,3.2491367231940016,1.4994244821293343,0.9625698324022346,179,0.980113633227406,831732.0,C
758,"['C1, P2, G1, M2, A3']",[22],[37811],[527.4261603375528],[38.230475150191154],1790,1735,0,55,2073,0.0157152323213461,2.085140004823991,3.3440776812360684,1.4935867257102209,0.9631284916201116,181,0.9812271195919032,831842.0,C
814,"['C1, P2, G2, M2, A3']",[22],[39311.0],[527.203711514129],[38.21377879681188],1790,1737,0,53,2066,0.0355718903672083,2.377566470406407,3.346215265266697,1.49429585261008,0.9575418994413408,184,0.98126097324405,864842.0,C
594,"['C1, P1, G1, M2, A3']",[24],[37806],[279.9552071668533],[40],1790,1727,0,63,2073,0.0046249096920997,1.790349401554998,3.2503829577499936,1.5002553051666607,0.9631284916201116,193,0.9872659357211055,907344.0,C
1426,"['C2, P2, G1, M3, A3']",[20],[46661],[493.5834155972359],[40],1790,1789,0,1,2199,0.0813762948410085,3.240967332703981,3.274002728197036,1.5160018187980235,0.96536312849162,196,0.9890559650909616,933220.0,C
1480,"['C2, P2, G2, M3, A3']",[20],[48161.0],[493.3885928557332],[40],1790,1790,0,0,2235,0.0772504493986725,3.0478856655088293,3.252248147873934,1.50149876524929,0.9698324022346368,198,0.9911877239857638,963220.0,C
1640,"['C2, P3, G2, M3, A3']",[20],[48165.0],[698.714365567356],[40],1790,1786,0,4,2240,0.0624499355068207,2.4594317695028067,3.2493046917744817,1.4995364611829878,0.9754189944134078,198,0.992636173829078,963300.0,C
1267,"['C2, P1, G1, M3, A3']",[22],[46656],[260.96033402922757],[40],1790,1788,0,2,2228,0.0364351591443354,2.1594022041439587,3.267241979984842,1.5114946533232274,0.9849162011173184,201,0.9961015272223244,1026432.0,C
1747,"['C2, P4, G1, M3, A3']",[22],[46669],[842.1985815602836],[40],1790,1787,0,3,2239,0.0297789429925496,2.3081719476572715,3.2391681258112603,1.4927787505408416,0.988826815642458,203,0.9971024776101406,1026718.0,C
1415,"['C2, P2, G1, M2, A3']",[26],[42811],[501.00200400801606],[31.376064545047065],1790,1790,0,0,2275,0.0127064759262745,1.347680408122116,3.873505593397218,1.5026549494830803,0.9977653631284916,196,0.997396868116381,1113086.0,C
1575,"['C2, P3, G1, M2, A3']",[26],[42815],[708.8846880907372],[29.774564015312635],1790,1788,0,2,2287,0.0195820135067717,1.4860780313548003,4.02827635503964,1.5027601364864245,0.994972067039106,203,0.9986744797125028,1113190.0,C
2061,"['C3, P2, G1, M3, A3']",[22],[50661],[439.36731107205617],[40],1790,1790,0,0,2207,0.009218815265611,1.161233874282139,3.2494989632192204,1.4996659754794806,0.9994413407821228,199,0.999328069342101,1114542.0,C
1268,"['C2, P1, G1, M3, A3']",[24],[46656],[260.96033402922757],[40],1790,1786,0,4,2227,0.0029267467679055,0.8630787950079366,3.229699464077669,1.486466309385113,0.9977653631284916,208,0.9994310971684351,1119744.0,C
1588,"['C2, P3, G1, M3, A3']",[24],[46665],[698.9748369058714],[40],1790,1790,0,0,2234,0.0054200857306513,1.3388381277172812,3.251564793526922,1.5010431956846149,0.9988826815642458,205,0.999701700091004,1119960.0,C
2281,"['C3, P3, G2, M4, A3']",[22],[59115.0],[603.1848158275695],[40],1790,1790,0,0,2245,0.0189726654965198,0.9239842212514304,3.2514467527699056,1.5009645018466042,1.0,219,0.999933595670762,1300530.0,C
2116,"['C3, P2, G2, M3, A3']",[26],[52161.0],[439.2129304286718],[40],1790,1790,0,0,2233,0.0,0.0,3.2578870649686937,1.5052580433124612,1.0,206,1.0,1356186.0,C
