vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G2, K3']",[70],[3700.0],[13.766519823788546],[12.620192307692307],1790,582,0,1208,582,0.0,0.0,9.21527132150783,1.5176351938267665,0.32513966480446926,59,0.5297049162011174,259000.0
"['B3, E2, G2, K3']",[70],[6100.0],[28.89060092449923],[6.809338521400779],1790,752,3,1035,916,1.1445315580360276,19.146958051124656,16.33453732503391,1.6268119532301781,0.3782122905027933,79,0.5890072121725722,427000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[60, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,755,0,1035,919,0.0,0.0,8.221599870578984,1.6409235702732374,0.42178770949720673,93,0.6250869273743017,572400.0
