vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G1, K1']",[40],[3200.0],[13.869625520110958],[3.043478260869565],1790,398,184,1208,398,9.222457350648142,19.998642281212717,31.793533453475188,1.5112661896690314,0.08044692737430167,29,0.34637732893450146,128000.0
"['B1, E1, G1, K1']",[50],[3200.0],[13.869625520110958],[3.043478260869565],1790,438,144,1208,438,5.160532829830539,19.950726333684266,31.778806503284756,1.5105191704564729,0.1452513966480447,29,0.42184538954438355,160000.0
"['B1, E1, G1, K1']",[60],[3200.0],[13.869625520110958],[3.043478260869565],1790,482,100,1208,482,2.7778510747906573,19.96261610727437,31.922374986661538,1.5178016297581938,0.21955307262569831,31,0.45508578939465727,192000.0
"['B1, E1, G1, K1']",[70],[3200.0],[13.869625520110958],[3.043478260869565],1790,516,66,1208,516,1.874199734366432,19.99800398018383,31.692806300422394,1.5061568413257735,0.25251396648044694,31,0.46852879254982915,224000.0
"['B1, E1, G1, K1']",[80],[3200.0],[13.869625520110958],[3.043478260869565],1790,529,53,1208,529,1.3192478326479964,19.98068357641884,31.85857908058521,1.514565605536931,0.26927374301675977,31,0.47544106833992195,256000.0
"['B1, E1, G1, K1']",[90],[3200.0],[13.869625520110958],[3.043478260869565],1790,547,35,1208,547,1.153611995391329,19.956667746087184,31.830626166295424,1.5131477040874488,0.28268156424581004,31,0.48045274907758284,288000.0
"['B1, E1, G1, K1']",[100],[3200.0],[13.869625520110958],[3.043478260869565],1790,568,14,1208,568,0.8187199655314134,19.89375720511248,31.872905069223748,1.515292286120045,0.2966480446927374,36,0.4913764912938244,320000.0
"['B1, E1, G1, K2']",[40],[3300.0],[13.908205841446453],[4.40251572327044],1790,442,140,1208,442,5.65295873519321,19.936847232126098,22.675998318755273,1.5171067948772217,0.15363128491620112,36,0.42428639893634534,132000.0
"['B1, E1, G1, K2']",[50],[3300.0],[13.908205841446453],[4.40251572327044],1790,506,76,1208,506,3.932745524690905,19.97767014685227,22.62110759204708,1.5130791734206457,0.20558659217877095,38,0.45599203870827454,165000.0
"['B1, E1, G1, K2']",[60],[3300.0],[13.908205841446453],[4.40251572327044],1790,529,53,1208,529,2.6626739489501157,19.976162593614823,22.66118162788177,1.516019616301598,0.2424581005586592,38,0.4710351663183393,198000.0
"['B1, E1, G1, K2']",[70],[3300.0],[13.908205841446453],[4.40251572327044],1790,529,53,1208,529,1.5464027640110627,19.98002102970812,22.689591101991116,1.5181041689092016,0.26145251396648045,38,0.47969071881758135,231000.0
"['B1, E1, G1, K2']",[80],[3300.0],[13.908205841446453],[4.40251572327044],1790,555,27,1208,555,1.7460235671493907,19.839475775782738,22.64712263228749,1.5149880338156445,0.2737430167597765,38,0.4836246717049213,264000.0
"['B1, E1, G1, K2']",[90],[3300.0],[13.908205841446453],[4.40251572327044],1790,564,18,1208,564,1.1577792704323226,19.82517521069969,22.68077889481014,1.517457570898019,0.2910614525139665,45,0.49755313568197845,297000.0
"['B1, E1, G1, K2']",[100],[3300.0],[13.908205841446453],[4.40251572327044],1790,579,3,1208,579,0.449078622504484,18.980366798858128,22.678230732381945,1.517270598812093,0.3111731843575419,46,0.5069615209106197,330000.0
"['B1, E1, G1, K3']",[40],[3500.0],[13.793103448275861],[12.727272727272727],1790,507,75,1208,507,1.6181836132174483,19.936363839800144,9.158728075979688,1.5185180767229642,0.24022346368715083,56,0.49381222327552665,140000.0
"['B1, E1, G1, K3']",[50],[3500.0],[13.793103448275861],[12.727272727272727],1790,553,29,1208,553,1.2457099124627105,19.23555989255579,9.137267393967326,1.513965810841554,0.2770949720670391,59,0.5115937583231402,175000.0
