,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
128,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[40, 12]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,2.6216630271777692,17.745496195551098,6.615923701847386,1.6241957324595857,0.5692737430167598,277,0.8831426151590678,733600.0
5112,"['B3, E2, G2, K3', 'C2, P1, G1, M3, A3']","[40, 10]","[6100.0, 52650]","[28.89060092449923, 275.33039647577095]","[6.809338521400779, 40]",1790,1400,67,323,3321,2.783825119614559,19.99402002868127,9.626167434853311,1.6138125930927003,0.5748603351955307,277,0.8839716958802317,770500.0
497,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 12]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,1.520348737196436,13.33962281869482,6.633082209358348,1.6241957324595857,0.6145251396648045,277,0.8983100643360136,770600.0
6148,"['B3, E3, G2, K3', 'C2, P1, G1, M2, A3']","[40, 10]","[7200.0, 48800]","[57.12109672505713, 279.9552071668533]","[6.554307116104869, 34.63631865413162]",1790,1467,0,323,3489,1.1492474569161533,11.838976152358214,10.437336003347337,1.6241957324595857,0.6430167597765363,272,0.9067318238449276,776000.0
133,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[40, 12]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.616669465986103,7.458426987489624,6.346031164655185,1.6241957324595857,0.6608938547486034,294,0.9130651205561996,779800.0
6152,"['B3, E3, G2, K3', 'C2, P1, G1, M3, A3']","[40, 10]","[7200.0, 52650]","[57.12109672505713, 275.33039647577095]","[6.554307116104869, 40]",1790,1467,0,323,3489,0.3455818093478212,7.111874538460299,10.17708467403603,1.6241957324595857,0.7301675977653631,280,0.9313323631086234,814500.0
502,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[50, 12]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.277074306566147,6.044013236468402,6.395661277562445,1.6241957324595857,0.7379888268156425,298,0.9335274466309292,816800.0
129,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[40, 14]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.2236981200162979,5.656713325416298,6.569753365772679,1.6241957324595857,0.7547486033519553,298,0.9379042074179316,831200.0
498,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 14]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.107301821482434,5.291376538824437,6.6289992585659725,1.6241957324595857,0.7854748603351955,298,0.9459931587086104,868200.0
6149,"['B3, E3, G2, K3', 'C2, P1, G1, M2, A3']","[40, 12]","[7200.0, 48800]","[57.12109672505713, 279.9552071668533]","[6.554307116104869, 34.63631865413162]",1790,1467,0,323,3489,0.1034480091113334,5.293685792705034,10.387324496451976,1.6241957324595857,0.7899441340782123,292,0.9471239654876634,873600.0
841,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[60, 14]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.0976069940698228,5.291376538824437,6.633082209358349,1.6241957324595857,0.7910614525139665,298,0.9474237386492472,905200.0
6153,"['B3, E3, G2, K3', 'C2, P1, G1, M3, A3']","[40, 12]","[7200.0, 52650]","[57.12109672505713, 275.33039647577095]","[6.554307116104869, 40]",1790,1467,0,323,3489,0.0533587185743825,3.7243835901947975,10.191116684903523,1.6241957324595857,0.8,294,0.9498132444849896,919800.0
503,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[50, 14]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.0409113188457664,3.257236616537611,6.390983216011639,1.6241957324595857,0.8050279329608938,300,0.9511137936242632,922100.0
845,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[60, 14]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.0389992135061843,3.257236616537611,6.395661277562445,1.6241957324595857,0.8050279329608938,300,0.9511204859929516,959100.0
499,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 16]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.0218566064996346,3.6708497392777777,6.6246126704019845,1.6241957324595857,0.8111731843575419,298,0.9527167979666368,965800.0
6150,"['B3, E3, G2, K3', 'C2, P1, G1, M2, A3']","[40, 14]","[7200.0, 48800]","[57.12109672505713, 279.9552071668533]","[6.554307116104869, 34.63631865413162]",1790,1467,0,323,3489,0.0210404967183875,3.6708497392777777,10.361729672775288,1.6241957324595857,0.8111731843575419,291,0.9527196543508712,971200.0
135,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[40, 16]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.0139593022731252,1.6291000324257965,6.298065126314256,1.6241957324595857,0.8162011173184358,300,0.954001421771653,990400.0
