vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 8]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1573,87,130,1976,2.781485032992032,9.995432631231225,7.023473384353076,1.4851984302591252,0.4770949720670391,152,0.8340985454012877,453600.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 10]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1630,30,130,2063,1.9857188126768508,9.931354409890574,6.932559524817919,1.4859656587443124,0.5491620111731843,163,0.861840486948927,530000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 12]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1651,9,130,2098,1.1620307959248302,9.931300494661599,6.835908623961751,1.4856507856463228,0.7,174,0.9079328922142631,606400.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 14]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1659,1,130,2110,0.6841964959174885,9.963380098243029,6.763421683580543,1.4865887395227486,0.7698324022346369,185,0.932563412822948,682800.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 16]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1660,0,130,2112,0.1830646786053935,5.965169005695294,6.702248989260609,1.4865314055444723,0.8709497206703911,187,0.9605967037924789,759200.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 18]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1660,0,130,2112,0.07356162220546898,3.83286939542387,6.654031961165664,1.4865314055444723,0.9027932960893855,187,0.9689408583446273,835600.0
"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 20]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1660,0,130,2112,0.023058286266080658,3.0208124102092526,6.618111069913706,1.4865314055444723,0.9189944134078212,187,0.973167899350024,912000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1656,4,130,2105,0.7969477644392484,9.95668626515787,6.076882626007712,1.4868202807432118,0.7335195530726257,180,0.920590571092619,498400.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 10]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.171436008190115,5.999768429339731,5.959633876231764,1.4865314055444723,0.8731843575418995,192,0.9636960633568094,586000.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 12]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.11906639229096436,5.436468803511545,5.815630665369966,1.4865314055444723,0.8921787709497206,195,0.9701279603644117,673600.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 14]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.016535143894668567,1.8264260450321856,5.748062915797463,1.4865314055444723,0.9184357541899442,194,0.9765510655438547,761200.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 16]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.006073331952422474,1.4129513641077907,5.699996964765274,1.4865314055444723,0.9256983240223464,193,0.9779033243437532,848800.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 18]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.0002712117578240934,0.3797378182514066,5.605363200129381,1.4865314055444723,0.9273743016759777,193,0.978342626177842,936400.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 8]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,1656,4,130,2105,0.7969477644392484,9.95668626515787,6.076882626007712,1.4868202807432118,0.7335195530726257,180,0.920590571092619,529200.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 10]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.171436008190115,5.999768429339731,5.959633876231764,1.4865314055444723,0.8731843575418995,192,0.9636960633568094,624500.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 12]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.11906639229096436,5.436468803511545,5.815630665369966,1.4865314055444723,0.8921787709497206,195,0.9701279603644117,719800.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 14]","[3700.0, 47650]","[13.766519823788546, 283.12570781426956]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.016535143894668567,1.8264260450321856,5.748062915797463,1.4865314055444723,0.9184357541899442,194,0.9765510655438547,815100.0
