,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
163,"['B3, E2, G2, K3']",[60],[6100.0],[28.89060092449923],[6.809338521400779],1790,1168,492,130,1493,2.810650902602439,9.994225942375934,14.178143800715173,1.4955740370461448,0.3843575418994413,136,0.7524121073157517,366000.0
143,"['B3, E2, G1, K3']",[70],[5900.0],[28.92960462873674],[6.840390879478828],1790,979,681,130,1233,0.8030979487384405,9.903979721722038,14.114961948845782,1.4951911016599426,0.4631284916201117,147,0.7699312800844433,413000.0
164,"['B3, E2, G2, K3']",[70],[6100.0],[28.89060092449923],[6.809338521400779],1790,1285,375,130,1627,0.8812603929709845,9.98640314592798,14.136828176916143,1.4908851692349712,0.5988826815642458,147,0.843256259015663,427000.0
165,"['B3, E2, G2, K3']",[80],[6100.0],[28.89060092449923],[6.809338521400779],1790,1373,287,130,1744,0.4123676453162712,9.956989560280114,14.153122479849866,1.4927343929790706,0.7217877094972067,148,0.8846436406156947,488000.0
377,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[50, 8]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1633,27,130,2071,1.543077472098392,9.96312664128446,7.144405717161941,1.487613068857817,0.6575418994413408,171,0.8944847037079908,490600.0
7,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1656,4,130,2105,0.7969477644392484,9.95668626515787,6.076882626007712,1.4868202807432118,0.7335195530726257,180,0.920590571092619,498400.0
730,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[60, 8]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,1650,10,130,2094,0.5633897152947175,9.886144699926191,7.209256535580904,1.48756670815727,0.8044692737430168,173,0.9356454544322228,527600.0
384,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[50, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.4846818844170577,9.966097396303084,6.326839316822034,1.4865314055444725,0.8111731843575419,190,0.9460969094939256,535400.0
737,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[60, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.1494641649004935,6.695323220349181,6.5207354735244145,1.4865314055444725,0.88268156424581,190,0.9651472664843008,572400.0
1053,"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[70, 8]","[3700.0, 43800]","[13.766519823788546, 288.0184331797235]","[12.620192307692307, 40]",1790,1660,0,130,2112,0.0593204019873582,4.212746230991016,6.641015257753659,1.4865314055444725,0.9039106145251397,190,0.9707700322243292,609400.0
838,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[60, 8]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1779,0,11,2488,0.317409118684936,8.128163567741602,6.488750916517248,1.486172234607682,0.9156424581005588,214,0.9777996826097424,612400.0
842,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[60, 8]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1779,0,11,2488,0.2224440931351966,7.086937520979575,6.342582649152392,1.486172234607682,0.9312849162011172,215,0.9820426747243062,643200.0
927,"['B1, E1, G2, K3', 'C3, P1, G1, M3, A3']","[60, 8]","[3700.0, 56650]","[13.766519823788546, 248.015873015873]","[12.620192307692307, 40]",1790,1789,0,1,2542,0.2291743568815966,7.086937520979575,6.343138461391518,1.48643715234881,0.9402234636871508,221,0.984253755672702,675200.0
