vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B2, E1, G2, K3', 'C3, P1, G1, M1, A3']","[50, 10]","[4700.0, 47200]","[15.964240102171136, 257.59917568263785]","[13.092269326683292, 15.377855887521969]",1790,1695,94,1,2374,1.5772085588754725,9.995044393429424,7.467681143212416,1.4860125240735254,0.7067039106145251,191,0.9166557476975671,707000.0
"['C4, P4, G2, M3, A3']",[12],[79150.0],[757.9384075315143],[40],1790,1584,206,0,2235,4.158325202852477,9.997128090140386,3.2255737264355546,1.483715817623705,0.38268156424581007,149,0.8041162528514689,949800.0
"['B1, E1, G1, K2', 'C2, P3, G3, M3, A3']","[50, 10]","[3300.0, 67650]","[13.908205841446453, 731.7073170731708]","[4.40251572327044, 40]",1790,1676,103,11,2336,3.1590034152300794,9.998655281454383,9.964963019158168,1.4838150971887407,0.4474860335195531,186,0.843814996426583,841500.0
"['B3, E3, G2, K3']",[100],[7200.0],[57.12109672505713],[6.554307116104869],1790,1660,0,130,2112,0.0,0.0,14.608133209612825,1.4865314055444723,0.9273743016759777,161,0.9623435754189944,720000.0
"['B1, E1, G2, K3', 'C3, P2, G2, M4, A3']","[50, 10]","[3700.0, 70100.0]","[13.766519823788546, 451.1006856730422]","[12.620192307692307, 40]",1790,1789,0,1,2542,0.2435541851655293,7.216836697613331,6.067166201333165,1.48643715234881,0.923463687150838,224,0.9800134821396301,886000.0
