vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,utility,fleet_cost
"['C2, P2, G1, M1, A3']",[30],[37211],[512.557662737058],[16.010978956999086],1790,1731,54,5,2133,3.2375050355995976,9.987791974489362,6.5663339852807,1.4853742717659693,0.5139664804469274,0.8431603524871333,1116330
"['C1, P1, G1, M1, A3', 'C3, P1, G1, M1, A3']","[20, 10]","[32206, 41206]","[287.1912693854107, 239.12003825920613]","[20.883054892601432, 14.427040395713108]",1790,1790,0,0,2229,0.7560604269943574,7.085390325117693,5.819494450579294,1.486484810006703,0.7201117318435755,0.9178817214664137,1056180
"['C4, P4, G2, M2, A3']",[30],[56319.0],[709.8027495517035],[22.139287747485607],1790,1790,0,0,2229,0.06730971700340567,2.2989231740411853,5.028543719096453,1.486484810006703,0.9726256983240223,0.9889208405714937,1689570.0
"['B1, E1, G1, K1', 'C3, P2, G1, M1, A3']","[100, 10]","[3200.0, 41211]","[12.970168612191959, 454.33893684688775]","[2.3222748815165875, 13.801261829652997]",1790,1420,370,0,1722,3.9345604737078856,9.998754783916652,27.296168433331538,1.4840289426575797,0.370391061452514,0.6911468037051508,732110.0
"['B2, E1, G2, K3', 'C3, P1, G1, M1, A3']","[80, 20]","[4700.0, 41206]","[14.78415138971023, 239.12003825920613]","[9.980988593155894, 14.427040395713108]",1790,1790,0,0,2229,0.18003169491514398,7.059958499284171,9.117608032515136,1.486484810006703,0.9536312849162011,0.9777777102968472,1200120.0
