vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 14]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.04738796286798561,2.6219278584999373,6.618949554271713,1.485570682350894,0.9441340782122905,176,0.9738676616830346,677284.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 16]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.005974320856852275,1.0067848686441394,6.545825737380904,1.485570682350894,0.9670391061452513,175,0.9792388664133138,752896.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 18]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.0029854589579031716,0.6785440965705902,6.412913620449209,1.485570682350894,0.9675977653631285,177,0.9803889922344293,828508.0
"['B1, E1, G2, K3', 'C1, P1, G1, M2, A3']","[40, 20]","[3700.0, 37806]","[12.87995878413189, 279.9552071668533]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.00041715576969985165,0.3453603402304495,6.295677143181479,1.485570682350894,0.9675977653631285,176,0.9798979812955881,904120.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 8]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1699,33,58,1985,2.369219882248595,9.998421309958445,7.17941008665028,1.4845300073621484,0.5229050279329609,152,0.8475339873953701,481248.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 10]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.5644864783282172,6.768022615323694,6.8936535645818005,1.485570682350894,0.7810055865921788,167,0.9267756939738959,564560.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 12]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.1449190706661866,4.998969475712904,6.769387439325077,1.485570682350894,0.9106145251396648,174,0.9641464145375845,647872.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 14]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.04738796286798561,2.6219278584999373,6.618949554271713,1.485570682350894,0.9441340782122905,176,0.9738676616830346,731184.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 16]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.005974320856852275,1.0067848686441394,6.545825737380904,1.485570682350894,0.9670391061452513,175,0.9792388664133138,814496.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 18]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.0029854589579031716,0.6785440965705902,6.412913620449209,1.485570682350894,0.9675977653631285,177,0.9803889922344293,897808.0
"['B1, E1, G2, K3', 'C1, P1, G1, M3, A3']","[40, 20]","[3700.0, 41656]","[12.87995878413189, 275.33039647577095]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.00041715576969985165,0.3453603402304495,6.295677143181479,1.485570682350894,0.9675977653631285,176,0.9798979812955881,981120.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 8]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1553,179,58,1806,3.500506967517112,9.996940931156928,8.388713608146839,1.4849797673456153,0.411731843575419,122,0.7480411865075448,417648.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 10]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1619,113,58,1886,3.3856916368851944,9.99102726126619,8.164559447154264,1.482520211578764,0.49050279329608937,139,0.8069357775949242,485060.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 12]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1680,52,58,1963,2.766832022551803,9.997697098427487,8.006010339883447,1.486865570157719,0.5268156424581005,141,0.8267999985355937,552472.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 14]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1723,9,58,2022,2.1057055563730236,9.944019787496785,7.856745897089236,1.4853578621951975,0.5899441340782123,148,0.8611160640722475,619884.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 16]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1732,0,58,2035,0.5659112026147405,7.900744541622657,7.752088233927029,1.485570682350894,0.8011173184357542,165,0.930798640399787,687296.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 18]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1732,0,58,2035,0.22460499646822799,5.852928411374201,7.649482365157001,1.485570682350894,0.8988826815642458,168,0.9579345529034227,754708.0
"['B1, E1, G2, K3', 'C1, P1, G2, M1, A3']","[40, 20]","[3700.0, 33706.0]","[12.87995878413189, 287.05936387644965]","[9.704251386321626, 20.873091603053435]",1790,1732,0,58,2035,0.1322877510216581,5.471672143314876,7.563782043479997,1.485570682350894,0.9273743016759777,171,0.9668805682904186,822120.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 8]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1705,27,58,1997,2.3608824515779254,9.998421309958445,7.1417000866822855,1.4848061482991344,0.5262569832402234,152,0.8491211572295331,462448.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 10]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.5644864783282172,6.768022615323694,6.8936535645818005,1.485570682350894,0.7810055865921788,167,0.9267756939738959,541060.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 12]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.1449190706661866,4.998969475712904,6.769387439325077,1.485570682350894,0.9106145251396648,174,0.9641464145375845,619672.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 14]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.04738796286798561,2.6219278584999373,6.618949554271713,1.485570682350894,0.9441340782122905,176,0.9738676616830346,698284.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 16]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.005974320856852275,1.0067848686441394,6.545825737380904,1.485570682350894,0.9670391061452513,175,0.9792388664133138,776896.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 18]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.0029854589579031716,0.6785440965705902,6.412913620449209,1.485570682350894,0.9675977653631285,177,0.9803889922344293,855508.0
"['B1, E1, G2, K3', 'C1, P1, G2, M2, A3']","[40, 20]","[3700.0, 39306.0]","[12.87995878413189, 279.8298634430266]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.00041715576969985165,0.3453603402304495,6.295677143181479,1.485570682350894,0.9675977653631285,176,0.9798979812955881,934120.0
"['B1, E1, G2, K3', 'C1, P1, G2, M3, A3']","[40, 8]","[3700.0, 43156.0]","[12.87995878413189, 275.2091589608102]","[9.704251386321626, 40]",1790,1702,30,58,1991,2.365043819001388,9.998421309958445,7.17261362805835,1.4846437060316966,0.5245810055865922,152,0.8483275980301431,493248.0
"['B1, E1, G2, K3', 'C1, P1, G2, M3, A3']","[40, 10]","[3700.0, 43156.0]","[12.87995878413189, 275.2091589608102]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.5644864783282172,6.768022615323694,6.8936535645818005,1.485570682350894,0.7810055865921788,167,0.9267756939738959,579560.0
"['B1, E1, G2, K3', 'C1, P1, G2, M3, A3']","[40, 12]","[3700.0, 43156.0]","[12.87995878413189, 275.2091589608102]","[9.704251386321626, 40]",1790,1732,0,58,2035,0.1449190706661866,4.998969475712904,6.769387439325077,1.485570682350894,0.9106145251396648,174,0.9641464145375845,665872.0
